POSTAL_CODE,COUNTRY_CODE,latitude,longitude,station_code,date,day_flag,forecast_init_datetime,phrase_short,phrase_long,phrase_code,enhanced_phrase_code_short,enhanced_phrase_code_long,weather_icon,cloud_cover_avg,degree_days_cooling,degree_days_effective,degree_days_freezing,degree_days_growing,degree_days_heating,evapotranspiration_lwe_total,humidity_relative_avg,humidity_relative_max,humidity_relative_min,has_ice,ice_lwe_total,ice_probability,index_uv_avg,minutes_of_ice_total,minutes_of_precipitation_total,minutes_of_rain_total,minutes_of_snow_total,minutes_of_sun_total,has_precipitation,precipitation_lwe_total,precipitation_intensity_max,precipitation_probability,precipitation_type_desc_predominant,has_rain,rain_lwe_total,rain_probability,has_snow,snow_total,snow_lwe_total,snow_liquid_ratio_accuweather_avg,snow_probability,snow_drifting_intensity_max,snow_type_desc_predominant,solar_irradiance_total,temperature_avg,temperature_max,temperature_min,temperature_dew_point_avg,temperature_dew_point_max,temperature_dew_point_min,temperature_heat_index_avg,temperature_heat_index_max,temperature_heat_index_min,temperature_realfeel_avg,temperature_realfeel_max,temperature_realfeel_min,temperature_realfeel_shade_avg,temperature_realfeel_shade_max,temperature_realfeel_shade_min,temperature_wetbulb_avg,temperature_wetbulb_max,temperature_wetbulb_min,temperature_wetbulb_globe_avg,temperature_wetbulb_globe_max,temperature_wetbulb_globe_min,temperature_wind_chill_avg,temperature_wind_chill_max,temperature_wind_chill_min,thunderstorm_probability,wind_direction_avg,wind_direction_predominant,wind_gust_direction_avg,wind_gust_avg,wind_gust_max,wind_gust_min,wind_speed_avg,wind_speed_max,wind_speed_min
88336,US,33.377,-105.252,NM8343,2023-04-27,D,2023-04-20T17:04:50Z,Sunshine and patchy clouds,Sunshine and patchy clouds,256,63,63,2,null,0.00,1.90,0.00,6.53,1.80,4.57000,29.67,75.32,13.85,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,2,null,null,0.00000,2,null,0.0000,0.00000,0.00,0,None,None,null,16.53,21.89,5.27,-2.39,1.24,-7.20,15.02,20.59,3.82,19.89,27.12,7.14,15.26,20.27,4.71,7.52,9.86,3.65,12.52,15.79,5.27,16.33,21.89,3.91,0,17.0,0.0,303.0,12.07,6.45,3.13,2.68,5.36,1.79
88007,US,32.357,-106.813,NMDA,2023-04-26,D,2023-04-20T17:04:50Z,Sunshine and nice,Sunny to partly cloudy and nice,256,873,873,2,null,2.20,0.00,0.00,10.53,0.00,5.33000,21.88,38.97,12.80,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,3,null,null,0.00000,3,null,0.0000,0.00000,0.00,0,None,None,null,20.53,26.22,12.87,-1.59,-0.79,-4.93,19.22,25.23,11.23,21.28,26.60,11.46,18.32,24.31,10.06,9.42,11.39,6.64,14.89,18.38,10.13,20.53,26.22,12.87,0,290.0,0.0,341.0,9.39,8.15,6.26,4.92,5.36,4.02
87509,US,35.691,-105.938,NMNM,2023-04-26,D,2023-04-20T17:04:50Z,Mainly cloudy,Mainly cloudy,64,6805,6805,6,null,0.00,9.68,0.00,0.00,9.40,2.79000,33.99,55.99,22.37,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,25,null,null,0.00000,25,null,0.0000,0.00000,0.00,0,None,None,null,8.93,14.08,2.49,-5.49,-5.47,-7.67,6.77,12.13,0.26,15.07,20.16,7.11,9.48,14.17,4.32,2.85,5.47,-0.39,7.38,10.52,2.49,8.82,14.08,2.49,6,271.0,0.0,263.0,1.79,1.29,0.00,1.34,1.79,0.00
87522,US,36.004,-105.947,NM7522,2023-04-26,D,2023-04-20T17:04:50Z,Clouds and sun,Clouds and sun,66,1027,1027,4,null,0.00,9.24,0.00,0.00,8.97,2.54000,37.43,55.59,26.42,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,25,null,null,0.00000,25,null,0.0000,0.00000,0.00,0,None,None,null,9.36,13.94,4.22,-3.39,-3.94,-5.61,7.33,12.08,2.14,14.29,20.27,6.41,9.67,14.29,4.64,3.58,5.88,1.13,7.74,10.62,4.22,9.09,13.94,3.67,3,342.0,0.0,338.0,1.79,1.37,0.89,1.34,1.79,0.89
87533,US,36.007,-106.089,NMEA,2023-04-27,D,2023-04-20T17:04:50Z,Partial sunshine,Partial sunshine,63,1027,1027,3,null,0.00,4.64,0.00,3.78,4.55,3.30000,42.92,84.31,22.31,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,25,null,null,0.00000,25,null,0.0000,0.00000,0.00,0,None,None,null,13.78,20.06,3.68,1.00,1.40,-2.18,12.34,18.70,2.30,19.62,26.11,6.83,14.17,19.02,5.10,7.20,9.63,2.77,11.46,15.43,3.68,13.78,20.06,3.68,0,246.0,0.0,252.0,4.02,1.91,0.45,0.89,1.79,0.45
87312,US,35.425,-108.315,NM7312,2023-04-28,D,2023-04-20T17:04:50Z,Plenty of sunshine,Plenty of sunshine,600,1,1,1,0.00,0.00,5.43,0.00,3.48,4.85,4.83000,23.02,51.34,12.08,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,13.48,19.17,4.86,-7.97,-4.41,-11.76,11.48,17.46,2.74,13.26,19.19,2.93,10.16,16.94,1.11,4.69,7.17,1.31,9.73,12.69,4.86,12.54,19.17,1.94,0,280.0,0.0,286.0,13.41,11.09,6.71,5.36,6.26,3.58
87522,US,36.004,-105.947,NM7522,2023-04-28,D,2023-04-20T17:04:50Z,Partial sunshine,Partial sunshine,63,1027,1027,3,null,0.00,4.45,0.00,4.06,4.27,3.56000,30.70,58.74,15.41,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,14.06,20.83,3.61,-3.08,-2.83,-6.94,12.32,19.43,1.56,18.82,24.57,7.96,13.98,19.02,5.19,5.97,9.10,0.84,10.87,14.93,3.61,14.06,20.83,3.61,0,324.0,0.0,309.0,10.28,4.73,0.45,1.79,4.92,0.00
87191,US,35.117,-106.532,NMNV,2023-04-26,D,2023-04-20T17:04:50Z,Partly sunny,Intervals of clouds and sunshine,66,1027,1027,4,null,0.00,4.99,0.00,3.58,4.75,3.05000,26.72,38.75,19.25,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,25,null,null,0.00000,25,null,0.0000,0.00000,0.00,0,None,None,null,13.58,18.07,8.22,-4.27,-5.08,-6.09,11.69,16.44,6.11,16.41,19.81,10.91,12.74,17.17,8.41,5.52,7.64,3.01,10.59,13.12,8.22,13.45,18.07,7.75,2,265.0,0.0,274.0,4.92,3.68,1.34,2.24,2.68,1.34
87538,US,35.469,-105.554,NM7565,2023-04-27,D,2023-04-20T17:04:50Z,Partly sunny and warmer,Partly sunny and warmer,766,1027,1027,3,null,0.00,5.71,0.00,3.14,5.19,3.81000,35.06,82.47,18.89,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,2,null,null,0.00000,2,null,0.0000,0.00000,0.00,0,None,None,null,13.14,18.94,0.92,-2.52,-1.68,-6.17,11.42,17.53,-0.78,13.36,20.21,-2.67,10.11,17.02,-3.93,5.78,9.10,0.02,9.88,14.13,0.92,12.28,18.94,-3.04,0,279.0,0.0,306.0,12.07,10.45,7.15,4.47,5.36,4.02
87715,US,35.991,-105.369,NMMA,2023-04-29,D,2023-04-20T17:04:50Z,Partly sunny,Intervals of clouds and sunshine,66,1027,1027,4,null,0.00,7.33,0.00,1.21,7.12,2.54000,39.03,88.65,14.11,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,11.21,16.94,2.17,-4.12,0.48,-10.78,9.41,15.06,0.76,16.26,22.82,4.83,11.64,16.88,3.36,4.64,6.11,1.60,8.69,12.21,2.17,11.21,16.94,2.17,0,212.0,0.0,271.0,5.36,2.96,2.24,1.34,2.24,0.89
88314,US,33.159,-105.856,NM8314,2023-04-28,D,2023-04-20T17:04:50Z,Plenty of sunshine,Plenty of sunshine,600,1,1,1,0.00,0.00,2.56,0.00,5.94,2.39,5.08000,16.56,32.75,10.38,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,15.94,21.48,7.32,-9.47,-8.12,-12.13,14.02,19.96,4.96,18.59,23.18,10.72,14.56,19.81,8.08,5.56,8.17,1.72,11.27,14.54,7.32,15.88,21.48,7.32,0,243.0,0.0,256.0,9.83,7.69,2.24,3.13,4.02,0.89
87312,US,35.425,-108.315,NM7312,2023-04-30,D,2023-04-20T17:04:50Z,Plenty of sun,Plenty of sun,599,1,1,1,0.00,0.00,5.26,0.00,3.41,4.92,4.83000,19.52,45.47,7.23,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,13.41,18.67,5.31,-11.93,-5.62,-18.53,11.32,16.78,3.08,16.47,20.92,6.83,11.98,16.90,4.35,4.15,5.99,1.25,9.46,11.97,5.31,13.05,18.67,3.76,0,246.0,0.0,236.0,8.94,7.04,4.92,3.13,4.47,1.79
87416,US,36.740,-108.398,NM7421,2023-04-26,D,2023-04-20T17:04:50Z,Times of sun and clouds,Times of sun and clouds,603,1027,1027,4,null,0.00,7.25,0.00,1.42,6.91,3.05000,34.26,54.77,22.72,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,25,null,null,0.00000,25,null,0.0000,0.00000,0.00,0,None,None,null,11.42,16.56,4.70,-2.88,-3.68,-5.02,9.51,14.86,2.66,14.90,17.91,7.34,10.76,14.68,5.84,4.76,7.23,1.48,9.13,12.02,4.70,11.42,16.56,4.70,1,308.0,0.0,309.0,8.05,3.81,0.89,2.24,4.47,0.89
88007,US,32.357,-106.813,NMDA,2023-04-27,D,2023-04-20T17:04:50Z,Mostly cloudy,Mostly cloudy,64,6805,6805,6,null,1.03,0.00,0.00,9.36,0.00,4.83000,23.28,56.59,10.11,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,19.36,25.83,8.47,-3.44,0.32,-9.81,17.96,24.74,6.85,22.96,27.46,12.05,18.53,24.14,9.59,8.49,10.63,4.88,14.22,17.58,8.47,19.36,25.83,8.47,0,243.0,0.0,251.0,9.39,5.55,1.34,2.24,4.02,0.45
87153,US,35.099,-106.516,NMFP,2023-04-28,D,2023-04-20T17:04:50Z,Mostly sunny,Mostly sunny,65,63,63,2,null,0.00,2.08,0.00,6.40,1.93,4.83000,22.26,49.02,11.93,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,16.40,21.50,8.53,-5.78,-1.61,-10.32,14.68,20.05,6.72,19.09,22.61,12.23,15.13,19.49,9.66,6.61,8.69,4.24,11.94,14.77,8.53,16.40,21.50,8.53,0,286.0,0.0,322.0,11.18,7.50,1.79,3.58,5.81,0.45
87416,US,36.740,-108.398,NM7421,2023-04-28,D,2023-04-20T17:04:50Z,Plenty of sunshine,Plenty of sunshine,600,1,1,1,0.00,0.00,3.88,0.00,4.74,3.59,4.83000,30.48,64.53,13.96,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,14.74,20.87,5.44,-3.10,-0.74,-8.13,13.07,19.39,3.72,17.08,21.35,9.49,13.25,18.88,6.82,6.42,8.57,2.89,11.05,14.44,5.44,14.59,20.87,5.44,0,292.0,0.0,302.0,11.62,7.92,1.34,3.58,5.36,0.45
